market,alias,name,id,conf_name,conf_alias,conf_id,venue_capacity
Georgia State,GAST,Panthers,94ea835b-8ce9-4de2-a5b1-971548fea974,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,3854
Arkansas State,ARST,Red Wolves,95826e36-ea33-4b51-83a8-7b4cc20999ee,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,10475
Georgia Southern,GASO,Eagles,6b955b96-b736-475e-bffd-e4acf2054169,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,3897
Texas State,TXST,Bobcats,1e5dc9e4-c60d-487b-8279-dfbec9229faa,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,7200
South Alabama,USA,Jaguars,10c614fa-9646-46cf-a1fb-5af96772bbb8,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,10041
Troy,TROY,Trojans,6373b18c-62f6-49bc-bd4c-8959a2466516,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,5200
Louisiana-Lafayette,ULL,Ragin' Cajuns,63cad858-8654-4956-8438-8fe79cd1208a,Sun Belt,SUNBELT,302c99fe-6b0a-40ec-8ee7-f15a0355b7b5,11550
Campbell,CAMP,Fighting Camels,6e5dfe2c-28cc-411f-b846-af8436093ab2,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,3095
Gardner-Webb,WEBB,Runnin' Bulldogs,79871449-f5a1-4650-b3cf-85b78fd6943e,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,3500
Liberty,LIB,Flames,559db90c-741f-40d1-aa81-3fdd1d4889f3,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,8085
Longwood,LONG,Lancers,600aad0e-85e7-4db8-be0b-94ba02a08e55,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,1807
Radford,RAD,Highlanders,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,3205
Presbyterian,PRE,Blue Hose,b06b63b0-20e6-4c78-bdcf-5feac3d7995e,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,2300
High Point,HP,Panthers,a311188e-1259-4fda-b0ea-c47cb52694b1,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,1750
UNC Asheville,UNCA,Bulldogs,ad9fce12-6b1a-400c-bcbe-29d84d065fc0,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,3200
Charleston Southern,CHSO,Buccaneers,a3fef707-e4fc-48a0-82f1-f4ef01b76f45,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,881
Winthrop,WIN,Eagles,ca441726-0c57-4456-b1e7-fff098484fb5,Big South,BIGSOUTH,906a1ec5-c786-4b14-9f7a-30e0c0f53255,6100
Sacred Heart,SHU,Pioneers,3556d445-b3f1-467e-b150-952b32dfb150,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,2062
LIU Brooklyn,LIU,Blackbirds,82c12e8d-7c6c-47d8-b100-3cbc190d268e,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,2500
Fairleigh Dickinson,FDU,Knights,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,5000
Bryant University,BRY,Bulldogs,61dadefa-76bf-4db4-8067-f88df540b9cd,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,2700
Central Connecticut State,CCSU,Blue Devils,a93bf4f2-3724-4539-8c8a-9ac8ee3741a6,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,2654
Wagner,WAG,Seahawks,3b644902-cd06-4930-9a3e-6c78cfb1f464,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,2100
St. Francis (BKN),SFNY,Terriers,e19cfc47-f23f-4c64-ba29-2e6d12dc45b2,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,1200
Mount St. Mary's,MSM,Mountaineers,5fe4a398-1699-4442-a364-305b2f0ac01e,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,3500
St. Francis (PA),SFPA,Red Flash,6637ac5f-59c2-4888-af34-a86d138ccfb3,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,3500
Robert Morris,RMU,Colonials,6906e22d-92fa-40cb-8c05-ec8391ac1979,Northeast,NE,b71a249a-9cb8-4bfd-8971-e7ca7bed6700,3056
New Orleans,UNO,Privateers,e7ff6d5c-07e9-42af-955d-0a0b8c1e2288,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,8933
